"扁霖老ID","矫焙备内靛","矫焙备疙","醚积劝牢备荐","郴惫牢积劝牢备荐","厘扁眉幅寇惫牢牢备荐","窜扁眉幅寇惫牢牢备荐","老弥措牢备荐","老弥家牢备荐","林埃牢备荐(09~18)","具埃牢备荐(19~08)","老弥措捞悼牢备荐","辑匡寇蜡涝牢备荐","悼老磊摹备青沥悼埃捞悼牢备荐","磊摹备埃捞悼牢备荐"
"20210207","11290","己合备","451233.98150","434016.38790","13647.53750","3570.05620","465401.56570","429827.05810","439275.09800","459776.04120","163665.16800","18073.02710","90572.00160","55020.13930"
"20210206","11290","己合备","446138.46090","428973.65990","13961.12930","3203.67160","461239.16220","421275.54990","431126.93650","456860.97830","172020.25360","20286.82420","89805.35580","61928.07360"
"20210205","11290","己合备","435709.42530","418604.38880","13938.04480","3166.99170","463024.82090","402379.73700","409959.94740","454101.90950","185319.57160","21139.33870","91597.50760","72582.72530"
"20210204","11290","己合备","437391.84810","420345.91170","14100.44510","2945.49130","463022.90480","405359.55610","412491.38790","455177.89110","183816.02030","20435.33600","91479.59690","71901.08740"
"20210203","11290","己合备","437854.43810","421018.85080","13946.02970","2889.55760","462626.00940","405127.35640","412732.96750","455798.34570","188078.13100","21348.79280","92877.57670","73851.76150"
"20210202","11290","己合备","437654.02020","420403.71980","14081.61050","3168.69000","462631.72520","406179.63090","412336.22070","455738.16270","187265.63390","21008.22160","92813.87450","73443.53780"
"20210201","11290","己合备","438001.92690","420445.71290","14130.63860","3425.57550","464703.96500","404024.15030","411934.98370","456621.17210","186464.63290","20625.67360","93312.83380","72526.12550"
"20210131","11290","己合备","451804.50900","434758.99240","14016.04890","3029.46760","465603.96960","432108.58950","441279.74850","459322.19500","165063.03130","20533.73450","89224.75970","55304.53710"
"20210130","11290","己合备","447648.11880","430712.91140","14115.24080","2819.96660","461211.26550","424715.13100","434239.10920","457225.98280","172094.92770","22006.51120","88079.43980","62008.97670"
"20210129","11290","己合备","438772.46800","422151.60970","14257.99130","2362.86710","463363.46510","409022.33410","415714.63360","455242.34980","184440.81570","22883.48220","89790.07850","71767.25500"
"20210128","11290","己合备","438501.80840","422128.37530","14372.05880","2001.37430","462340.23320","408228.32920","415230.81960","455123.94320","181646.96380","21347.55380","90094.53830","70204.87170"
"20210127","11290","己合备","436585.02840","420631.10770","14174.32700","1779.59370","462907.71020","403033.94630","410818.28660","454989.84400","188426.46480","23215.61780","91696.92180","73513.92520"
"20210126","11290","己合备","437662.37190","421344.39320","14358.52450","1959.45420","462472.49400","405872.98460","413357.02870","455023.33130","186187.84350","22643.75020","91608.94570","71935.14760"
"20210125","11290","己合备","436438.92490","420456.98730","14027.09080","1954.84680","462760.74410","401913.88430","410280.81480","455123.28920","186766.16130","22267.83340","92288.11570","72210.21220"
"20210124","11290","己合备","449931.99650","433884.20380","14051.21550","1996.57720","463633.46460","428523.41760","438576.36730","458043.16030","164766.10890","19797.29980","89355.01930","55613.78980"
"20210123","11290","己合备","445300.16060","429258.13730","13945.98020","2096.04310","460318.43570","420621.41640","430047.25710","456195.09160","172507.90890","22264.08870","89024.09140","61219.72880"
"20210122","11290","己合备","436544.77070","420382.74320","14082.89380","2079.13370","461423.17310","406018.26360","412470.22300","453740.87620","184700.61060","22205.53260","90260.15950","72234.91850"
"20210121","11290","己合备","437354.83830","420839.04040","14223.06210","2292.73580","461306.25670","406090.37960","413131.08170","454657.52160","185232.78880","22638.92080","90606.43090","71987.43710"
"20210120","11290","己合备","436968.52900","420957.48160","14089.25950","1921.78790","461710.89140","405079.28380","412262.98560","454615.34570","187580.12170","22532.81580","91537.61140","73509.69450"
"20210119","11290","己合备","438250.82910","422058.46550","14071.11600","2121.24750","461909.76470","406752.46370","414427.44860","455267.52940","185234.01250","22058.70560","91752.07430","71423.23260"
"20210118","11290","己合备","438955.44230","422826.77370","14131.12030","1997.54820","462849.08080","408858.44710","415453.20350","455742.75560","180347.36950","20572.38520","91323.22100","68451.76330"
"20210117","11290","己合备","453673.73210","437749.70080","14247.95210","1676.07930","464389.32660","438106.92630","446088.79070","459091.54730","160711.81110","19479.56720","88822.13650","52410.10740"
"20210116","11290","己合备","446968.94510","431210.32250","14054.50880","1704.11380","458504.33560","426691.79500","434927.30620","455570.11580","170530.75690","22178.61870","88342.03320","60010.10500"
"20210115","11290","己合备","436687.12400","420600.39530","13980.41540","2106.31330","460286.54080","407923.94260","413829.57720","453013.94310","181815.41020","21261.82770","89761.29270","70792.28980"
"20210114","11290","己合备","436090.27350","419734.17550","14213.35670","2142.74130","460628.14360","403948.63020","411662.84590","453538.43600","183158.68290","21365.85860","91239.38220","70553.44210"
"20210113","11290","己合备","438382.58970","422032.49700","14224.70700","2125.38570","461263.40300","407985.19580","415576.02550","454672.99260","181906.51040","20735.76600","90904.17510","70266.56930"
"20210112","11290","己合备","438515.23920","422244.96820","14363.01840","1907.25270","460787.41710","408157.86140","415438.87090","454998.35950","183126.89680","21540.32330","90831.47730","70755.09620"
"20210111","11290","己合备","439418.75880","423009.24290","14319.97560","2089.54040","462892.57230","408871.21110","415881.78920","456230.87990","182988.45950","20914.30780","92083.40070","69990.75100"
"20210110","11290","己合备","456396.33870","439684.15820","14410.96470","2301.21570","465350.93410","443337.10460","450118.41360","460880.57090","154922.98360","16774.80570","88142.32270","50005.85520"
"20210109","11290","己合备","451963.48750","435210.01500","14547.34070","2206.13180","462402.63070","435231.79160","442018.94750","459066.73030","163519.11750","18680.77130","88784.78480","56053.56140"
"20210108","11290","己合备","440640.66850","423718.81620","14586.08030","2335.77200","462113.22470","412798.72410","419611.32420","455661.62870","173659.02570","18909.52490","89768.48860","64981.01220"
"20210107","11290","己合备","440866.35970","424188.69450","14563.92880","2113.73650","462043.30390","414269.60570","420320.24890","455542.15320","172211.93670","18242.92300","89384.97950","64584.03420"
"20210106","11290","己合备","438029.52690","421488.03220","14558.13420","1983.36050","460504.67280","408583.49430","415853.53710","453869.51960","180203.54570","19865.23190","91434.32860","68903.98520"
"20210105","11290","己合备","438309.53670","421447.18350","14756.87510","2105.47820","460668.06320","407901.64100","415159.09560","454845.56610","182139.19150","20052.40110","92069.53410","70017.25630"
"20210104","11290","己合备","438153.00680","421248.44590","14668.62370","2235.93720","462244.32530","407317.70250","414034.00380","455380.86610","181406.53930","19873.98310","92079.06150","69453.49470"
"20210103","11290","己合备","453802.56790","436249.55380","14884.34710","2668.66700","464390.76130","440616.89270","446935.46830","458707.63910","153904.87670","15956.91610","89101.42920","48846.53140"
"20210102","11290","己合备","445340.51900","428047.77920","14848.38450","2444.35540","458842.79430","428430.29560","435433.04830","452417.28380","160440.27210","18430.01220","88397.98610","53612.27380"
"20210101","11290","己合备","448268.04850","430649.94830","15109.56420","2508.53600","455169.43270","435064.98070","442174.84480","452620.33690","151292.53670","18421.47230","84569.44480","48301.61960"
"20201231","11290","己合备","439545.01370","422122.09230","15128.02920","2294.89220","459200.26690","412628.33800","420525.76260","453130.19310","167334.67350","19127.41660","84784.12530","63423.13160"
"20201230","11290","己合备","438702.95260","421263.50450","15106.44850","2332.99960","459238.67510","410962.51580","417995.55470","453493.95120","169677.45980","19857.25150","84047.82730","65772.38100"
"20201229","11290","己合备","436551.09730","419276.09290","14943.54430","2331.46020","458614.82250","405870.82180","414073.08170","452606.82280","172114.43340","20198.37770","85506.58430","66409.47140"
"20201228","11290","己合备","437879.39400","419905.69880","14967.55000","3006.14520","461312.21200","406770.09070","414910.44220","454285.78820","174185.90400","20487.90610","86616.23550","67081.76240"
"20201227","11290","己合备","452053.17560","433513.35630","15246.34230","3293.47700","462125.73750","438078.58570","445051.84650","457054.12490","148369.85900","16474.86320","84195.97020","47699.02560"
"20201226","11290","己合备","445849.70730","427042.47790","15066.37000","3740.85940","456563.78780","428599.22490","434894.36690","453674.95040","157742.61410","19227.27850","84072.59970","54442.73590"
"20201225","11290","己合备","448182.58040","429174.72330","14856.33160","4151.52560","458696.40380","430561.87770","438614.57910","455016.86710","149617.06800","17640.60970","81037.50140","50938.95690"
"20201224","11290","己合备","438152.79820","420058.34050","15044.03190","3050.42580","461428.84650","408816.90970","415786.59090","454128.66050","172228.59630","19473.08190","86444.79460","66310.71980"
"20201223","11290","己合备","438949.98840","420872.71200","15153.69310","2923.58330","462233.17830","408981.72190","416037.84620","455315.80420","175159.01680","19885.18150","87394.24880","67879.58650"
"20201222","11290","己合备","438980.16170","420889.32480","15234.74810","2856.08880","462178.00180","407455.10310","415426.61670","455804.12250","174963.85010","19784.64500","87802.71830","67376.48680"
"20201221","11290","己合备","442172.40910","423673.23140","15413.59580","3085.58200","466043.22650","412206.40820","419197.25340","458583.23460","176408.12980","20118.12120","88122.85740","68167.15120"
"20201220","11290","己合备","456593.30060","437817.48810","15436.78600","3339.02660","465985.90260","443010.09960","449212.93580","461864.98980","151360.86150","16960.66390","84900.86580","49499.33180"
"20201219","11290","己合备","454163.11270","434952.57600","15341.49830","3869.03840","463176.89380","438868.80140","444501.27300","461064.42680","161323.43620","20031.55340","84631.79310","56660.08970"
"20201218","11290","己合备","442839.38820","423466.91520","15555.20030","3817.27270","466007.15990","413734.05730","420610.63090","458717.07200","173486.60770","19322.05990","87024.09980","67140.44800"
"20201217","11290","己合备","444534.55870","425134.35420","15703.44270","3696.76190","466451.55580","416237.19350","422128.68760","460538.75230","175124.21760","19565.45660","88250.39710","67308.36390"
"20201216","11290","己合备","445346.76280","425789.86390","15949.20680","3607.69200","466862.25080","416657.26080","423564.62060","460905.43590","174963.01380","19026.39000","88372.40710","67564.21670"
"20201215","11290","己合备","445615.70320","426152.99390","15872.01530","3590.69400","467559.14240","417640.65230","423517.10390","461400.41690","175289.00090","18996.19210","88309.35730","67983.45150"
"20201214","11290","己合备","446909.40310","427172.18650","15982.94250","3754.27400","469072.46330","418358.80300","424579.00150","462859.68990","174527.23650","18696.17710","88467.93220","67363.12720"
"20201213","11290","己合备","461499.32290","442239.17020","15724.88590","3535.26680","471095.09040","453607.48830","456821.97380","464840.28650","151569.70840","17086.68570","85786.40070","48696.62200"
"20201212","11290","己合备","452964.88120","433667.04040","15572.32360","3725.51720","464774.56210","433586.09360","440878.95120","461597.68830","163525.54760","20287.47990","85960.55900","57277.50870"
"20201211","11290","己合备","442824.14730","423554.56910","15754.00350","3515.57470","466263.26310","413057.81200","419961.14740","459154.86150","177487.78920","19564.05500","88600.15920","69323.57500"
"20201210","11290","己合备","443366.42370","423888.85020","15719.55990","3758.01360","466724.29690","412972.27940","419987.06200","460065.96770","178466.32340","19232.42310","89770.83120","69463.06910"
"20201209","11290","己合备","444167.01960","424378.94190","15820.21600","3967.86170","467152.02740","413516.32910","420806.51880","460853.09150","180102.86060","19235.92010","90445.54690","70421.39360"
"20201208","11290","己合备","444365.76240","424344.17870","15680.80470","4340.77900","467560.68540","414286.03950","421112.76740","460975.04460","180000.16800","19570.92300","90226.78400","70202.46100"
"20201207","11290","己合备","444677.06460","424305.01920","15726.96090","4645.08450","469746.64250","413783.56040","420001.70230","462302.32340","181737.50530","19594.11880","90902.94090","71240.44560"
"20201206","11290","己合备","457434.34310","436595.56920","15681.82100","5156.95290","470470.05290","440746.23850","448199.45630","464030.69080","159650.99810","18827.46630","88535.80350","52287.72830"
"20201205","11290","己合备","450642.61160","430312.40280","15684.36620","4645.84270","463929.42970","429767.31270","437082.52170","460328.39010","166036.07780","20355.57000","86927.81760","58752.69020"
"20201204","11290","己合备","441468.39880","421139.17680","15755.31810","4573.90390","466135.52750","409999.54110","417645.76400","458484.56640","179238.80950","19199.05430","90328.95080","69710.80440"
"20201203","11290","己合备","443213.71050","422712.88810","15786.77820","4714.04420","467437.82790","411086.73430","418976.60850","460525.92620","182964.80400","19317.92680","91743.95250","71902.92470"
"20201202","11290","己合备","444139.34920","423236.06570","15757.60600","5145.67750","468335.19870","413765.43380","420236.89440","461212.53120","183874.45650","19237.99620","92271.44250","72365.01780"
"20201201","11290","己合备","444178.15010","423780.71950","15788.37870","4609.05200","468188.89720","412962.68250","420156.59070","461336.40690","183541.32750","19184.45020","92677.53830","71679.33900"
"20201130","11290","己合备","443572.62320","423232.04370","15802.21350","4538.36600","467479.98820","412169.97250","419075.06620","461070.87820","182324.76840","20631.69040","90810.41480","70882.66320"
"20201129","11290","己合备","455217.68420","435208.29270","15610.16020","4399.23130","469125.28250","441101.80080","446951.53870","461122.07380","159790.30940","19091.46680","87491.11460","53207.72800"
"20201128","11290","己合备","449026.62480","429222.51300","15532.63210","4271.47970","461653.74700","429624.25410","436417.77630","458032.94520","166643.13200","20984.24150","85777.58760","59881.30290"
"20201127","11290","己合备","439480.53440","420380.28240","15549.20530","3551.04670","463991.48970","408955.02430","415970.88970","456273.13790","182535.61250","20997.60620","89632.47470","71905.53160"
"20201126","11290","己合备","440872.91500","422040.71940","15558.38900","3273.80660","467292.46670","408723.96250","415584.84480","458935.82220","185097.61470","21365.80770","91038.00180","72693.80520"
"20201125","11290","己合备","440569.55660","422338.95240","15583.40510","2647.19910","467450.65840","407349.92500","414483.24730","459202.63460","187414.55250","21018.71750","92132.93460","74262.90040"
"20201124","11290","己合备","440328.06880","422510.30110","15513.76430","2304.00350","465839.18930","407580.81510","414510.44790","458769.22670","188190.26240","21143.30090","91996.83270","75050.12880"
"20201123","11290","己合备","439097.69730","421178.78600","15328.52000","2590.39130","466923.15850","406309.23780","412599.67610","458024.85520","189285.31670","21504.82820","92931.81720","74848.67130"
"20201122","11290","己合备","451527.53830","433899.04300","15003.96870","2624.52660","464444.85120","435827.28660","442594.14970","457908.53020","165981.45660","21999.15900","88620.68570","55361.61190"
"20201121","11290","己合备","441834.23730","424435.96930","15086.68860","2311.57940","459491.52590","417869.57750","427068.69230","452381.05510","172670.40920","24265.89510","85970.61120","62433.90290"
"20201120","11290","己合备","435382.33810","417581.46260","15222.86810","2578.00740","466648.29640","403167.57690","409680.13440","453741.05500","186747.99360","21753.63650","90182.96330","74811.39380"
